Unique MASCOT (mz),Difference (mz),MASCOT RT (mins)
501.2607,-0.00050417331,4.2302
501.2607,-0.00054365089,4.1716833
501.2607,-0.00054960208,2.2842333
501.2607,-0.00056425461,4.3618833
501.2607,-0.00061299165,4.5750833
501.2607,-0.00065822742,4.8468333
501.2607,-0.00067093071,4.8572833
501.2607,-0.00069297974,5.63905
501.2607,-0.00072785488,4.7652833
501.2607,-0.0007533945,4.2532
501.2607,-0.00082308224,3.7745167
501.2607,-0.0008518236,4.1695833
501.2607,-0.00090726803,2.2926
501.2607,-0.00096863501,4.8719167
501.2607,-0.00097766391,4.1904833
501.2607,-0.00099821956,2.87365
501.2607,-0.0010060681,3.7975
501.2607,-0.0010139967,4.5897
501.2607,-0.0010805836,2.30095
501.2607,-0.0011305085,2.2863167
501.2607,-0.0012944288,4.9011833
501.2607,-0.0014109966,4.897
501.2607,-0.0014143878,4.874
501.2607,-0.001455338,4.3368
501.2607,-0.001518871,4.7862167
501.2607,-0.0016045923,4.7548333
501.2607,-0.0016135842,4.3702333
501.2607,-0.0016224983,2.8339333
501.2607,-0.001671391,5.9295667
501.2607,-0.0018220178,2.2675167
501.2607,-0.0018221044,4.84475
501.2607,-0.0019063785,5.6286
501.2607,-0.0019338087,4.9429833
506.5915,0.0017978037,4.19885
506.5915,0.0015694072,4.5520833
506.5915,0.0013456753,4.82175
592.3154,0.0019938091,5.3505667
592.3154,0.0019758274,6.9559167
592.3154,0.0019650418,5.6056
592.3154,0.001955884,5.2795
592.3154,0.001954983,7.5976333
592.3154,0.0018455903,7.7481333
592.3154,0.001799125,7.16075
592.3154,0.0017793838,5.0036
592.3154,0.0017450821,5.3275667
592.3154,0.001690746,5.3422
592.3154,0.0016766088,4.57925
592.3154,0.0016702672,5.3359333
592.3154,0.0016422143,5.3192167
592.3154,0.0016264213,7.86935
592.3154,0.0015895004,5.31085
592.3154,0.0015218796,4.60225
592.3154,0.0015078495,4.8907333
592.3154,0.0014877041,5.33175
592.3154,0.0014779186,3.8267667
592.3154,0.0014748363,7.3864833
592.3154,0.0014461526,4.1716833
592.3154,0.0013691616,7.4074
592.3154,0.0013166259,7.4931333
592.3154,0.0012256274,7.48685
592.3154,0.0012094573,7.18375
592.3154,0.0011857315,7.0374333
592.3154,0.0011479652,7.5788167
592.3154,0.0010901914,5.3129333
592.3154,0.0010015839,7.65825
592.3154,0.00098570384,5.3254833
592.3154,0.00096591445,5.3150333
592.3154,0.00096555397,7.5662833
592.3154,0.00095459522,4.1821333
592.3154,0.00092132299,5.3484667
592.3154,0.00091246218,5.3045833
592.3154,0.00084478695,7.2109167
592.3154,0.00079639802,5.3338333
592.3154,0.00078846773,7.5600167
592.3154,0.00078726338,4.5646333
592.3154,0.00076342343,6.9726333
592.3154,0.00073420595,5.3380167
592.3154,0.00068111114,5.3296667
592.3154,0.000593536,5.6724833
592.3154,0.00055319817,7.4011167
592.3154,0.00052256469,5.3066667
592.3154,0.00051103616,5.6495
592.3154,0.00049268986,5.51155
592.3154,0.00039684875,7.0437
592.3154,0.0002456116,5.3442833
592.3154,0.0002186298,4.1967667
592.3154,0.00019051008,5.2983
592.3154,0.00013380485,4.7193
592.3154,0.00011990033,5.3463833
592.3154,8.3033803e-05,5.6745833
592.3154,-7.504875e-06,4.4768333
592.3154,-2.8888448e-05,5.2711333
592.3154,-7.6006247e-05,7.4785
592.3154,-0.00014865761,5.3004
592.3154,-0.00017797032,7.4701333
592.3154,-0.00020197637,5.6913
592.3154,-0.00023008534,7.8191833
